v_cam;altitude;tma_num;V_S;V_E;V_T;maps;year;location;azimuth;photo_dist;fl_length;month;day
"32";"10900";"139";"1";"117";"116";;"1947";wilkes_land;293;1.271;147.43;"2";"11"
"00";"10000";"148";"140";"194";"54";;"1947";wilkes_land;332;0.928;50.111;"2";"11"
"00";"9500";"147";"1";"139";"138";;"1947";wilkes_land;36.4;1.047;144.43;"2";"11"
"00";"8750";"159";"145";"245";"100";;"1947";wilkes_land;73.8;1.054;106.45;"2";"11"
"00";"9500";"158";"123";"144";"21";;"1947";wilkes_land;217;1.131;24.887;"2";"11"
"32";"10550";"140";"118";"199";"81";;"1947";wilkes_land;204;0.666;53.937;"2";"11"
"32";"10200";"155";"133";"163";"30";;"1947";wilkes_land;173;4.229;126.85;"2";"11"
"32";"9900";"154";"106";"132";"26";;"1947";wilkes_land;168;1.087;28.252;"2";"11"
"32";"9750";"153";"81";"105";"24";;"1947";wilkes_land;96.5;0.904;21.687;"2";"11"
"32";"10300";"187";"67";"144";"77";;"1947";wilkes_land;200;1.411;108.62;"2";"13"
"32";"10400";"151";"23";"42";"19";;"1947";wilkes_land;310;1.276;24.239;"2";"11"
"32";"10400";"152";"43";"80";"37";;"1947";wilkes_land;9.16;1.045;38.662;"2";"11"
"00";"10100";"149";"195";"244";"49";;"1947";wilkes_land;358;1.144;56.036;"2";"11"
"32";"9650";"141";"1";"200";"199";;"1947";wilkes_land;346;0.94;187.06;"2";"11"
"32";"7550";"142";"1";"73";"72";;"1947";wilkes_land;349;1.763;126.96;"2";"11"
"32";"9625";"186";"1";"66";"65";;"1947";wilkes_land;167;0.99;64.371;"2";"13"
"00";"9625";"185";"151";"196";"45";;"1947";wilkes_land;193;0.831;37.403;"2";"13"
"00";"12100";"184";"108";"150";"42";;"1947";wilkes_land;97.6;0.939;39.441;"2";"13"
"00";"11400";"183";"71";"107";"36";;"1947";wilkes_land;93.5;1.242;44.719;"2";"13"
"00";"11600";"182";"42";"70";"28";;"1947";wilkes_land;94.9;0.64;17.919;"2";"13"
"00";"11975";"181";"1";"41";"40";;"1947";wilkes_land;93.2;0.671;26.824;"2";"13"
"32";"11500";"146";"171";"190";"19";;"1947";wilkes_land;132;1.788;33.98;"2";"11"
"32";"11525";"145";"20";"170";"150";;"1947";wilkes_land;178;1.105;165.68;"2";"11"
"32";"11500";"144";"1";"19";"18";;"1947";wilkes_land;272;1.798;32.357;"2";"11"
"32";"7550";"143";"74";"196";"122";;"1947";wilkes_land;4.36;1.126;137.37;"2";"11"
"00";"11350";"175";"1";"56";"55";;"1947";wilkes_land;274;1.213;66.694;"2";"13"
"00";"11050";"176";"57";"75";"18";;"1947";wilkes_land;269;1.06;19.087;"2";"13"
"00";"11550";"177";"76";"100";"24";;"1947";wilkes_land;273;0.874;20.968;"2";"13"
"00";"11800";"178";"101";"124";"23";;"1947";wilkes_land;273;0.496;11.406;"2";"13"
"00";"11950";"179";"125";"166";"41";;"1947";wilkes_land;183;0.419;17.173;"2";"13"
"00";"11775";"180";"167";"195";"28";;"1947";wilkes_land;182;0.613;17.154;"2";"13"
"32";"10000";"162";"1";"29";"28";;"1947";wilkes_land;8;1.421;39.788;"2";"13"
"32";"10000";"163";"30";"48";"18";;"1947";wilkes_land;264;2.514;45.26;"2";"13"
"32";"10000";"164";"49";"63";"14";;"1947";wilkes_land;264;1.194;16.712;"2";"13"
"32";"10000";"165";"64";"94";"30";;"1947";wilkes_land;262;0.727;21.82;"2";"13"
"32";"10000";"166";"95";"127";"32";;"1947";wilkes_land;263;0.56;18.491;"2";"13"
"32";"10000";"167";"128";"179";"51";;"1947";wilkes_land;356;0.629;32.079;"2";"13"
"32";"10000";"168";"1";"49";"48";;"1947";wilkes_land;355;0.541;25.951;"2";"13"
"32";"10000";"169";"50";"173";"123";;"1947";wilkes_land;129;0.454;55.854;"2";"13"
"32";"10000";"170";"174";"193";"19";;"1947";wilkes_land;47.5;1.545;29.358;"2";"13"
"32";"10000";"171";"1";"21";"20";;"1947";wilkes_land;86.1;1.163;23.266;"2";"13"
"32";"10000";"172";"22";"42";"20";;"1947";wilkes_land;84.8;1.74;34.805;"2";"13"
"00";"9500";"237";"1";"140";"139";;"1947";queen_maud_land;347;0.794;110.34;"2";"26"
"00";"9500";"237";"1";"140";"139";;"1947";wilkes_land;347;0.794;110.34;"2";"26"
"00";"9500";"238";"141";"217";"76";;"1947";queen_maud_land;348;0.72;54.713;"2";"26"
"32";"9400";"220";"14";"122";"108";;"1947";queen_maud_land;166;1.142;123.35;"2";"22"
"32";"9650";"221";"123";"170";"47";;"1947";queen_maud_land;168;1.062;49.898;"2";"22"
"32";"10300";"222";"171";"180";"9";;"1947";queen_maud_land;259;2.556;23.007;"2";"22"
"00";"9100";"189";"1";"24";"23";;"1947";queen_maud_land;198;1.678;38.602;"2";"22"
"00";"9050";"190";"25";"65";"40";;"1947";queen_maud_land;326;1.361;54.427;"2";"22"
"00";"9050";"191";"66";"109";"43";;"1947";queen_maud_land;224;0.901;38.74;"2";"22"
"00";"9050";"192";"110";"162";"52";;"1947";queen_maud_land;293;1.109;57.672;"2";"22"
"00";"9050";"193";"163";"189";"26";;"1947";queen_maud_land;239;1.184;30.791;"2";"22"
"00";"9000";"194";"1";"195";"194";;"1947";queen_maud_land;262;0.507;98.323;"2";"22"
"32";"9000";"210";"134";"158";"24";;"1947";queen_maud_land;46.7;1.825;43.793;"2";"22"
"32";"12150";"206";"1";"80";"79";;"1947";queen_maud_land;95.9;1.32;104.25;"2";"22"
"32";"9000";"207";"81";"102";"21";;"1947";queen_maud_land;44.6;1.553;32.612;"2";"22"
"32";"9000";"208";"104";"119";"15";;"1947";queen_maud_land;42;1.724;25.86;"2";"22"
"32";"9000";"209";"120";"133";"13";;"1947";queen_maud_land;45.5;1.768;22.982;"2";"22"
"32";"8950";"195";"1";"141";"140";;"1947";queen_maud_land;278;0.791;110.79;"2";"22"
"32";"8950";"196";"142";"175";"33";;"1947";queen_maud_land;1.16;0.919;30.34;"2";"22"
"32";"9220";"199";"1";"36";"35";;"1947";queen_maud_land;279;1.156;40.454;"2";"22"
"32";"9050";"202";"69";"85";"16";;"1947";queen_maud_land;180;1.374;21.976;"2";"22"
"32";"11600";"203";"86";"116";"30";;"1947";queen_maud_land;181;1.156;34.679;"2";"22"
"32";"11650";"204";"117";"183";"66";;"1947";queen_maud_land;109;0.991;65.398;"2";"22"
"32";"9800";"34";"139";"196";"57";;"1947";wilkes_land;70.6;2.679;152.72;"1";"5"
"00";"9860";"35";"1";"49";"48";;"1947";wilkes_land;245;1.313;63.029;"1";"5"
"00";"9860";"36";"50";"132";"82";;"1947";wilkes_land;260;1.15;94.263;"1";"5"
"32";"13000";"28";"56";"73";"17";;"1947";wilkes_land;19.3;1.269;21.58;"1";"4"
"32";"11400";"16";"20";"38";"18";;"1947";north_victoria_land;1.02;1.712;30.82;"1";"2"
"32";"11400";"17";"39";"73";"34";;"1947";north_victoria_land;182;0.921;31.3;"1";"2"
"32";"11400";"15";"1";"19";"18";;"1947";north_victoria_land;271;1.462;26.317;"1";"2"
"32";"10000";"42";"118";"217";"99";;"1947";north_victoria_land;61.3;0.495;49.035;"1";"6"
"32";"10000";"42";"118";"217";"99";;"1947";wilkes_land;61.3;0.495;49.035;"1";"6"
"00";"11600";"39";"1";"24";"23";;"1947";north_victoria_land;142;1.343;30.894;"1";"5"
"00";"9800";"40";"25";"33";"8";;"1947";north_victoria_land;140;5.818;46.547;"1";"5"
"00";"10250";"87";"97";"145";"48";;"1947";wilkes_land;19.1;1.262;60.555;"1";"28"
"00";"9700";"86";"54";"96";"42";;"1947";wilkes_land;198;1.035;43.46;"1";"28"
"00";"10100";"85";"1";"53";"52";;"1947";wilkes_land;291;1.262;65.605;"1";"28"
"00";"10100";"88";"146";"206";"60";;"1947";wilkes_land;106;1.098;65.866;"1";"28"
"00";"10100";"114";"1";"56";"55";;"1947";wilkes_land;348;1.13;62.132;"1";"30"
"00";"10200";"90";"1";"60";"59";;"1947";wilkes_land;21.6;1.128;66.577;"1";"28"
"32";"10000";"84";"144";"206";"62";;"1947";wilkes_land;202;1.51;93.635;"1";"28"
"00";"10200";"96";"189";"236";"47";;"1947";wilkes_land;127;0.822;38.639;"1";"28"
"00";"6450";"115";"57";"106";"49";;"1947";wilkes_land;52.8;0.628;30.769;"1";"30"
"32";"10000";"82";"1";"49";"48";;"1947";wilkes_land;20.1;0.883;42.377;"1";"28"
"00";"9640";"116";"107";"158";"51";;"1947";wilkes_land;358;1.196;61.021;"1";"30"
"00";"6360";"117";"159";"196";"37";;"1947";wilkes_land;62.8;0.812;30.052;"1";"30"
"32";"9550";"118";"1";"48";"47";;"1947";wilkes_land;12.9;1.052;49.438;"1";"30"
"32";"9550";"119";"49";"181";"132";;"1947";wilkes_land;42.7;0.846;111.68;"1";"30"
"32";"9550";"120";"182";"198";"16";;"1947";wilkes_land;60.4;6.911;110.57;"1";"30"
"00";"10500";"91";"61";"75";"14";;"1947";wilkes_land;306;1.917;26.834;"1";"28"
"00";"10250";"92";"76";"99";"23";;"1947";wilkes_land;304;1.146;26.366;"1";"28"
"00";"10250";"93";"100";"124";"24";;"1947";wilkes_land;304;0.953;22.871;"1";"28"
"00";"10200";"95";"156";"188";"32";;"1947";wilkes_land;128;0.565;18.089;"1";"28"
